"version","release_type","source_commit","snapshot_created","pathogen","role","source_path","development_path"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","INF","report","INF\INF_Analysis.R","development\INF\report.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","INF","clean","INF\INF_DataCleaning_25-26.R","development\INF\clean.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","INF","load_raw","INF\INF_SQLquery_25-26.R","development\INF\load_raw.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","INF","stats","INF\INF_Statistikk.R","development\INF\stats.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","INF","qc","INF\INF_QC_25-26.R","development\INF\qc.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","INF","ravn_export","INF\INF_RAVN_export.R","development\INF\ravn_export.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","INF","tessy_cases","INF\INF_Tessy_cases_2526.R","development\INF\tessy_cases.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","RSV","report","RSV\RSV_Analysis.R","development\RSV\report.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","RSV","clean","RSV\RSV_DataCleaning_23-24.R","development\RSV\clean.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","RSV","load_raw","RSV\RSV_SQLquery.R","development\RSV\load_raw.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","RSV","stats","RSV\RSV_Statistikk.R","development\RSV\stats.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","SC2","report","SC2\SC2_Analysis_combined_singlefile.R","development\SC2\report.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","SC2","classify","SC2\SC2_Classification.R","development\SC2\classify.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","SC2","clean_bn","SC2\SC2_DataCleaning_BNCOVID19.R","development\SC2\clean_bn.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","SC2","clean_season","SC2\SC2_DataCleaning_25-26.R","development\SC2\clean_season.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","SC2","load_raw_bn","SC2\SC2_SQLquery_BNCOVID19.R","development\SC2\load_raw_bn.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","SC2","load_raw_season","SC2\SC2_SQLquery_25-26.R","development\SC2\load_raw_season.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","SC2","stats","SC2\SC2_Statistikk.R","development\SC2\stats.R"
"1.0","production","c1ec0d5","2026-07-09 09:14:07","ALL","common_utils","Source_files\common_report_utils.R","development\Source_files\common_report_utils.R"
